YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Air_Pressure,Air_Temperature,CurrDir010,CurrDir020,CurrDir_DCS,CurrSp010,CurrSp020,CurrSp_DCS,Salinity_0m,Salinity_10m,Salinity_20m,Watertemp_0m,Watertemp_10m,Watertemp_20m,WindDirectionGill,WindSpeedGill
2013,7,15,19,0,0,101.357.422,23.875,703.125,7.734.375,8.296.875,3.613.281,3.183.594,4.492.188,3.590.942,3.591.309,3.600.464,2.296.875,2.277.539,2.242.676,25.453.125,878.906
2013,7,15,20,0,0,101.455.078,23.375,871.875,1.040.625,8.296.875,3.691.406,359.375,3.320.313,3.596.069,3.597.534,360.083,2.296.875,2.263.477,2.249.561,26.929.688,767.578
2013,7,15,21,0,0,101.552.734,23.125,928.125,984.375,871.875,3.222.656,421.875,2.734.375,3.593.506,3.601.563,3.601.196,22.875,2.273.145,2.244.141,25.171.875,902.344
2013,7,15,22,0,0,101.630.859,22.875,10.828.125,10.828.125,106.875,359.375,4.414.063,3.515.625,3.592.773,360.083,3.598.999,2.259.375,226.333,2.249.854,27.421.875,837.891
2013,7,15,23,0,0,101.679.688,22.625,9.984.375,1.096.875,1.096.875,3.964.844,4.707.031,4.296.875,3.585.083,3.601.929,3.598.267,226.875,2.284.863,2.239.893,28.054.688,796.875
2013,7,16,0,0,0,101.689.453,22.625,118.125,12.234.375,1.153.125,4.824.219,4.453.125,5.273.438,3.580.322,3.589.478,3.599.365,226.875,2.265.527,220.957,281.25,8.4375
2013,7,16,1,0,0,101.738.281,22.5,1.096.875,11.953.125,11.671.875,4.726.563,4.277.344,546.875,3.578.857,3.586.914,3.597.534,2.259.375,2.261.279,2.215.137,27.773.438,755.859
2013,7,16,2,0,0,101.738.281,21.625,1.209.375,13.921.875,11.671.875,4.648.438,3.652.344,5.273.438,3.579.224,3.585.449,3.592.773,2.259.375,2.256.152,2.214.258,28.265.625,732.422
2013,7,16,3,0,0,101.767.578,22.25,1.096.875,1.265.625,1.096.875,484.375,4.121.094,5.664.063,3.574.829,3.585.083,3.585.449,226.875,2.257.324,2.237.402,23.835.938,732.422
2013,7,16,4,0,0,101.738.281,22.25,1.096.875,1.153.125,11.109.375,4.902.344,40.625,5.859.375,3.569.336,357.959,3.588.379,226.875,2.265.381,2.224.805,24.679.688,685.547
2013,7,16,5,0,0,101.679.688,22.125,984.375,10.828.125,10.546.875,4.980.469,4.902.344,5.273.438,356.897,3.577.759,3.592.041,226.875,2.269.189,2.211.328,2.615.625,574.219
2013,7,16,6,0,0,101.689.453,22,10.265.625,11.109.375,10.546.875,4.628.906,484.375,5.078.125,3.570.801,3.575.928,3.575.195,2.259.375,2.267.139,2.255.273,26.226.563,603.516
2013,7,16,7,0,0,101.669.922,22.125,1.040.625,106.875,1.040.625,4.472.656,5.078.125,4.882.813,3.574.829,357.959,3.581.787,2.259.375,2.262.744,225.249,24.820.313,626.953
2013,7,16,8,0,0,101.699.219,21.25,95.625,9.984.375,9.984.375,4.453.125,5.332.031,4.492.188,3.579.224,3.583.984,3.586.182,22.5,225.542,2.246.191,2.221.875,7.5
2013,7,16,9,0,0,101.767.578,21.5,11.109.375,1.153.125,10.265.625,4.570.313,53.125,4.492.188,3.583.252,3.588.379,3.587.646,2.240.625,2.246.338,2.244.727,20.460.938,662.109
2013,7,16,10,0,0,101.835.938,21.625,101.25,1.040.625,10.828.125,515.625,5.957.031,46.875,3.585.449,3.590.942,3.590.576,2.240.625,2.241.211,2.237.842,21.023.438,521.484
2013,7,16,11,0,0,101.923.828,21.25,112.5,10.828.125,118.125,4.726.563,4.921.875,546.875,3.576.294,359.314,3.592.041,2.240.625,2.240.039,2.240.186,20.109.375,744.141
2013,7,16,12,0,0,102.011.719,21.5,10.828.125,10.828.125,10.828.125,4.882.813,515.625,4.101.563,3.588.379,3.594.238,359.314,2.240.625,223.623,2.236.377,19.476.563,556.641
2013,7,16,13,0,0,102.060.547,21.5,11.390.625,11.390.625,11.390.625,4.492.188,4.628.906,4.101.563,3.587.646,3.595.337,3.593.506,223.125,2.236.084,2.234.619,20.109.375,480.469
2013,7,16,14,0,0,102.050.781,21.5,12.234.375,11.953.125,11.390.625,3.984.375,4.257.813,4.882.813,3.587.646,3.594.971,3.593.872,223.125,2.233.154,2.233.154,18.632.813,304.688
2013,7,16,15,0,0,102.011.719,21.625,118.125,1.153.125,11.390.625,4.980.469,5.175.781,46.875,3.587.646,3.596.802,3.596.069,223.125,2.231.836,223.374,1.996.875,298.828
2013,7,16,16,0,0,101.962.891,20.875,118.125,1.153.125,118.125,4.765.625,453.125,4.492.188,3.588.379,3.594.604,3.595.337,223.125,2.233.154,2.229.785,1.828.125,486.328
2013,7,16,17,0,0,101.914.063,21.125,11.390.625,11.390.625,112.5,4.609.375,4.707.031,46.875,3.588.379,3.595.337,3.594.971,2.240.625,2.233.594,2.226.709,16.101.563,164.063
2013,7,16,18,0,0,101.884.766,21.5,11.460.938,112.5,11.390.625,4.521.484,4.667.968,4.589.844,3.586.914,3.594.971,3.594.604,22.5,2.230.957,2.228.613,16.980.469,243.165
2013,7,16,19,0,0,101.904.297,21.625,1.153.125,11.109.375,1.153.125,4.433.594,4.628.906,4.492.188,3.588.013,3.593.872,3.596.436,2.240.625,2.229.639,2.224.219,17.859.375,322.266
2013,7,16,20,0,0,101.933.594,21.625,11.390.625,10.828.125,1.153.125,5.214.844,5.117.188,46.875,3.588.013,3.594.238,3.594.971,223.125,2.228.027,2.224.365,16.945.313,339.844
2013,7,16,21,0,0,102.001.953,21.625,11.390.625,11.109.375,1.153.125,53.125,5.117.188,5.078.125,3.588.013,3.594.604,3.594.604,223.125,2.230.811,2.222.461,13.851.563,246.094
2013,7,16,22,0,0,102.050.781,21.625,112.5,10.828.125,10.828.125,5.546.875,4.824.219,6.054.688,357.959,3.595.337,3.594.971,2.259.375,2.241.504,2.224.219,12.726.563,181.641
2013,7,16,23,0,0,102.070.313,21.625,11.109.375,11.109.375,1.096.875,5.507.813,4.570.313,5.859.375,357.373,3.593.506,3.594.604,2.259.375,2.247.363,2.224.512,14.203.125,128.906
2013,7,17,0,0,0,102.080.078,21.75,1.040.625,101.25,1.096.875,59.375,5.058.594,5.664.063,3.572.632,3.594.604,3.595.337,2.259.375,2.243.262,2.227.002,9.984.375,275.391
2013,7,17,1,0,0,102.099.609,21.75,1.096.875,1.040.625,11.390.625,5.761.719,4.765.625,5.664.063,3.568.237,3.591.309,3.595.337,2.259.375,2.253.662,2.225.244,871.875,322.266
2013,7,17,2,0,0,102.089.844,20.875,1.096.875,10.265.625,118.125,5.585.938,4.785.156,5.078.125,3.568.604,3.588.013,3.593.872,2.259.375,2.255.859,2.229.932,35.929.688,328.125
2013,7,17,3,0,0,102.089.844,20.625,106.875,10.265.625,12.515.625,6.171.875,4.863.281,4.882.813,356.311,3.582.153,3.596.069,226.875,2.262.598,2.242.383,35.859.375,222.656
2013,7,17,4,0,0,102.050.781,20.875,106.875,984.375,12.234.375,546.875,4.960.938,46.875,3.561.646,3.580.322,3.595.703,2.259.375,2.265.381,22.5,1.546.875,199.219
2013,7,17,5,0,0,101.992.188,20.75,1.096.875,101.25,1.265.625,5.410.156,5.078.125,4.296.875,3.561.646,3.577.759,3.596.436,2.259.375,226.626,2.249.121,3.867.188,123.047
2013,7,17,6,0,0,101.962.891,21.125,11.109.375,9.984.375,1.265.625,5.195.313,5.722.656,390.625,3.563.477,3.577.759,3.593.506,2.259.375,2.267.871,225.498,2.742.188,1.875
2013,7,17,7,0,0,101.962.891,20.875,1.096.875,9.703.125,1.265.625,5.175.781,6.289.063,3.710.938,3.563.843,357.959,3.594.238,2.259.375,2.266.846,2.253.662,4.640.625,152.344
2013,7,17,8,0,0,101.953.125,20.875,11.390.625,10.265.625,13.359.375,5.195.313,6.699.219,3.710.938,3.562.378,3.574.829,3.592.407,2.259.375,2.265.674,2.252.051,6.890.625,246.094
