/SiMCosta RJ-1 buoy 
/L1 data
/missing = NULL
/latitude = -22.9616
/longitude = -43.12483
/Sensor Mount = Buoy
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Avg_Air_Press: Average Air Pressure (mb)
/Avg_Air_Tmp: Average Air Temperature (degree Celsius)
/Avg_Hmt: Average Humidity (%)
/Avg_Wnd_Sp: Average Wind Speed (m/s)
/Avg_Wnd_Dir: Average Wind Direction (degree, magnetic north)
/Avg_Wnd_Dir_N: Average Wind Direction (degree, true north)
/M_Decl: Magnetic Declination (degree)
/Avg_Sol_Rad: Average Solar Radiation Reading (W/m²)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Air_Tmp,Avg_Hmt,Avg_Wnd_Sp,Avg_Wnd_Dir,Avg_Wnd_Dir_N,M_Decl,Avg_Sol_Rad
2015,7,29,20,25,00,1021.17,22.20,89.00,3.80,177.00,154.45,-22.55,58.97
2015,7,29,21,25,00,1021.54,22.20,89.20,3.60,160.00,137.45,-22.55,44.54
2015,7,29,22,25,00,1022.23,22.20,88.70,3.60,169.00,146.45,-22.55,45.59
2015,7,29,23,25,00,1022.57,22.10,90.30,3.60,155.00,132.45,-22.55,44.34
2015,7,30,0,25,00,1022.78,22.10,90.70,3.20,151.00,128.45,-22.55,43.22
2015,7,30,1,25,00,1022.82,22.00,91.30,3.00,146.00,123.45,-22.55,42.08
2015,7,30,2,25,00,1022.78,22.00,91.40,2.40,163.00,140.45,-22.55,42.43
2015,7,30,3,25,00,1022.77,21.90,92.10,3.00,158.00,135.45,-22.55,41.60
2015,7,30,4,25,00,1022.68,21.90,88.10,2.20,121.00,98.45,-22.55,40.95
2015,7,30,5,25,00,1022.08,21.80,88.70,1.80,91.00,68.45,-22.55,41.76
2015,7,30,6,25,00,1021.52,21.60,85.80,0.50,15.00,352.45,-22.55,42.19
2015,7,30,7,25,00,1021.16,21.50,86.90,0.40,21.00,358.45,-22.55,41.71
2015,7,30,8,25,00,1021.43,21.50,88.60,0.90,61.00,38.45,-22.55,42.18
2015,7,30,9,25,00,1021.96,21.10,88.60,0.80,52.00,29.45,-22.55,42.39
2015,7,30,10,25,00,1022.53,21.60,83.40,1.30,104.00,81.45,-22.55,120.42
2015,7,30,11,25,00,1022.82,22.50,81.20,1.00,71.00,48.45,-22.55,309.35
2015,7,30,12,25,00,1022.89,22.50,83.30,1.30,119.00,96.45,-22.55,349.99
2015,7,30,13,25,00,1023.01,22.30,88.00,3.10,153.00,130.45,-22.55,513.20
2015,7,30,14,25,00,1022.29,22.20,87.90,4.90,137.00,114.45,-22.55,727.98
2015,7,30,15,25,00,1021.46,22.30,89.60,5.40,141.00,118.45,-22.55,758.24
2015,7,30,16,25,00,1020.55,22.40,89.90,6.00,146.00,123.45,-22.55,670.68
2015,7,30,17,25,00,1019.78,22.50,90.00,6.00,146.00,123.45,-22.55,288.61
2015,7,30,18,25,00,1019.41,22.50,91.50,6.50,145.00,122.45,-22.55,407.53
2015,7,30,19,25,00,1019.28,22.70,90.20,6.20,144.00,121.45,-22.55,274.19
2015,7,30,20,25,00,1019.39,22.70,90.50,4.50,142.00,119.45,-22.55,71.58
2015,7,30,21,25,00,1019.83,22.70,88.90,3.40,149.00,126.45,-22.55,44.18
2015,7,30,22,25,00,1020.41,22.50,89.80,2.00,159.00,136.45,-22.55,43.47
2015,7,30,23,25,00,1020.87,22.10,93.80,5.50,139.00,116.45,-22.55,42.70
2015,7,31,0,25,00,1021.14,22.10,93.80,3.90,130.00,107.45,-22.55,44.26
