/SiMCosta RJ-2
/latitude = -22.93198
/longitude = -43.14788
/depth = 15
/L1 data 
/missing = NULL
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br), Universidade Federal do Rio Grande - FURG./Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW
/Anemometer measuring height: 3.0m


/Parameters:
/Avg_Air_Press: Average Air Pressure (mbar)
/Avg_Wnd_Sp: Wind Speed (m/s)
/Avg_Hmt: Average Humidity Point (%)
/Avg_Air_Tmp: Average Air Temperature (°C)
/Avg_Sol_Rad: Average Solar Radiation Reading (W/m²)
/Avg_Wnd_Dir_N: Wind Direction, true north reference (°)

/Missing = NULL
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Wnd_Sp,Avg_Hmt,Avg_Air_Tmp,Avg_Sol_Rad,Avg_Wnd_Dir_N
2015,7,29,20,25,0,1021.02,4.7,86.4,22.1,58.73,168.448
2015,7,29,21,25,0,1021.41,4.7,88,22.1,42.34,163.448
2015,7,29,22,25,0,1022.11,4.8,87.3,22.1,41.89,165.448
2015,7,29,23,25,0,1022.57,4.3,89.2,22.1,41.56,163.448
2015,7,30,0,25,0,1022.69,4.1,89.9,22,41.87,162.447
2015,7,30,1,25,0,1022.81,3.4,90.8,22,42.2,161.447
2015,7,30,2,25,0,1022.78,2.9,90.7,21.9,41.92,167.447
2015,7,30,3,25,0,1022.75,3,91.6,21.8,41.6,159.447
2015,7,30,4,25,0,1022.66,2,87.9,21.8,41,148.447
2015,7,30,5,25,0,1022.1,1.2,87.1,21.7,41.41,149.447
2015,7,30,6,25,0,1021.5,1,84.1,21.7,41.03,154.447
2015,7,30,7,25,0,1021.17,1.2,85.1,21.7,41.35,154.447
2015,7,30,8,25,0,1021.36,1.6,85.2,21.6,41.77,131.447
2015,7,30,9,25,0,1021.95,1.3,82.6,21.6,41.87,124.447
2015,7,30,10,25,0,1022.57,1.4,82.7,21.8,106.09,135.447
2015,7,30,11,25,0,1022.9,0.9,81.5,22,286.37,22.447
2015,7,30,12,25,0,1022.9,1.4,80.4,22.7,504.39,53.447
2015,7,30,13,25,0,1022.94,1.5,80.3,23,590.54,271.447
2015,7,30,14,25,0,1022.25,4.9,87.6,22.2,724.4,143.447
2015,7,30,15,25,0,1021.32,5.6,88,22.3,743.37,143.447
2015,7,30,16,25,0,1020.35,5.8,88.1,22.4,709.14,147.447
2015,7,30,17,25,0,1019.69,5.5,88.8,22.5,639.27,166.447
2015,7,30,19,25,0,1019,6.2,91.1,22.6,285.12,145.447
2015,7,30,20,25,0,1019.37,3.9,89.5,22.7,73.75,160.447
2015,7,30,21,25,0,1019.71,4.3,88.1,22.7,43.95,186.447
2015,7,30,22,25,0,1020.3,2.8,88.8,22.5,43.38,191.447
2015,7,30,23,25,0,1020.81,5,93.5,22,43.5,161.447
2015,7,31,0,25,0,1021.12,3.8,92.8,22.1,42.39,160.447
2015,7,31,1,25,0,1021.29,1.6,92.4,22.1,42.25,196.447
2015,7,31,2,25,0,1021.31,0.8,91.5,22.2,42.28,158.447
2015,7,31,3,25,0,1021.25,2.7,91.7,22.3,42.66,226.447
2015,7,31,4,25,0,1020.73,1.4,91.9,22.3,43.13,217.447
2015,7,31,5,25,0,1020.32,1.1,93.4,22,43.16,151.447
2015,7,31,6,25,0,1020.06,0.9,93.8,21.8,43.93,133.447
2015,7,31,7,25,0,1019.81,2,94.4,21.7,43.27,135.447
2015,7,31,8,25,0,1020.01,1.5,93.8,21.7,43.06,144.447
2015,7,31,9,25,0,1020.67,2.7,93.3,21.5,43.49,80.447
2015,7,31,10,25,0,1021.16,2.5,91.7,21.6,94.95,44.447
2015,7,31,11,25,0,1021.62,3.6,91.1,21.9,279.9,349.447
2015,7,31,12,25,0,1022.34,2.7,89.4,22.3,466.54,343.447
2015,7,31,13,25,0,1022.52,2.6,88.1,22.6,614.36,126.447
2015,7,31,14,25,0,1021.94,4.1,89.9,22.4,737.04,141.447
2015,7,31,15,25,0,1020.92,4.4,87.6,22.4,617.58,152.447
2015,7,31,16,25,0,1019.77,5.2,89.5,22.4,658.06,147.447
2015,7,31,17,25,0,1018.95,5.9,88.1,22.4,645.26,167.447
2015,7,31,18,25,0,1018.55,6.6,88.2,22.5,491.15,163.447
2015,7,31,19,25,0,1018.79,5.9,87.8,22.6,282.01,175.447
2015,7,31,20,25,0,1019.05,5.2,88.9,22.6,82.76,180.447
