/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Avg_Air_Press: Average Air Pressure (mb)
/Avg_Air_Tmp: Average Air Temperature (degree Celsius)
/Avg_Hmt: Average Humidity (%)
/Avg_Wnd_Sp: Average Wind Speed (m/s)
/Avg_Wnd_Dir: Average Wind Direction (degree, magnetic north)
/Avg_Wnd_Dir_N: Average Wind Direction (degree, true north)
/M_Decl: Magnetic Declination (degree)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Air_Tmp,Avg_Hmt,Avg_Wnd_Sp,Avg_Wnd_Dir,Avg_Wnd_Dir_N,M_Decl
2016,7,15,0,25,00,1013.28,23.60,82.40,1.00,356.00,333.37,-22.63
2016,7,15,1,25,00,1013.29,23.00,83.70,0.90,323.00,300.37,-22.63
2016,7,15,2,25,00,1012.96,22.70,86.30,0.30,311.00,288.37,-22.63
2016,7,15,3,25,00,1012.52,22.20,89.10,0.70,315.00,292.37,-22.63
2016,7,15,4,25,00,1012.44,21.80,89.80,0.30,308.00,285.37,-22.63
2016,7,15,5,25,00,1012.04,21.50,91.20,0.80,327.00,304.37,-22.63
2016,7,15,6,25,00,1012.05,21.60,91.20,0.80,320.00,297.37,-22.63
2016,7,15,7,25,00,1011.93,21.30,91.10,0.80,331.00,308.37,-22.63
2016,7,15,8,25,00,1012.25,21.00,90.60,0.90,321.00,298.37,-22.63
2016,7,15,9,25,00,1012.78,20.80,89.00,0.50,302.00,279.37,-22.63
2016,7,15,12,25,00,1013.71,22.60,83.60,1.70,103.00,80.37,-22.63
2016,7,15,13,25,00,1013.17,24.90,65.00,3.30,246.00,223.37,-22.63
2016,7,15,14,25,00,1012.30,29.20,37.80,5.40,358.00,335.37,-22.63
2016,7,15,15,25,00,1011.33,29.40,39.70,4.70,44.00,21.37,-22.63
2016,7,15,16,25,00,1010.32,31.00,34.80,2.90,30.00,7.37,-22.63
2016,7,15,17,25,00,1009.65,31.00,34.60,4.00,28.00,5.37,-22.63
2016,7,15,18,25,00,1009.47,30.30,39.80,1.70,354.00,331.37,-22.63
2016,7,15,19,25,00,1009.67,28.60,45.60,1.60,253.00,230.37,-22.63
2016,7,15,20,25,00,1010.31,25.10,67.20,0.50,190.00,167.37,-22.63
2016,7,15,21,25,00,1010.48,25.60,59.20,1.10,71.00,48.37,-22.63
2016,7,15,22,25,00,1010.64,25.40,61.20,1.20,109.00,86.37,-22.63
2016,7,15,23,25,00,1010.86,24.50,71.90,1.10,88.00,65.37,-22.63
2016,7,16,0,25,00,1010.85,27.30,50.10,4.60,14.00,351.37,-22.63
2016,7,16,1,25,00,1010.67,27.10,50.50,3.70,41.00,18.37,-22.63
2016,7,16,2,25,00,1010.28,26.30,51.20,4.10,29.00,6.37,-22.63
2016,7,16,3,25,00,1009.36,26.20,51.00,7.30,17.00,354.37,-22.63
2016,7,16,4,25,00,1009.10,25.50,53.60,5.70,36.00,13.37,-22.63
2016,7,16,5,25,00,1008.38,25.50,53.70,5.00,26.00,3.37,-22.63
2016,7,16,6,25,00,1007.87,25.90,52.20,5.80,33.00,10.37,-22.63
2016,7,16,7,25,00,1007.24,28.70,39.10,7.10,7.00,344.37,-22.63
2016,7,16,8,25,00,1007.36,26.60,48.80,6.20,19.00,356.37,-22.63
2016,7,16,9,25,00,1007.53,25.30,55.90,7.80,20.00,357.37,-22.63
2016,7,16,10,25,00,1008.21,26.80,47.30,5.60,9.00,346.37,-22.63
2016,7,16,11,25,00,1008.60,29.30,36.10,6.30,5.00,342.37,-22.63
2016,7,16,12,25,00,1009.12,29.90,34.00,6.30,2.00,339.37,-22.63
2016,7,16,13,25,00,1009.04,30.50,31.20,7.80,359.00,336.37,-22.63
2016,7,16,14,25,00,1009.28,25.80,70.30,7.90,264.00,241.37,-22.63
2016,7,16,15,25,00,1008.22,22.60,86.80,11.20,269.00,246.37,-22.63
2016,7,16,16,25,00,1007.54,22.30,89.10,11.50,262.00,239.37,-22.63
2016,7,16,17,25,00,1007.02,22.10,91.40,11.10,263.00,240.37,-22.63
2016,7,16,18,25,00,1007.76,22.20,90.20,12.30,267.00,244.37,-22.63
2016,7,16,19,25,00,1008.89,22.20,89.70,10.90,269.00,246.37,-22.63
2016,7,16,20,25,00,1010.33,22.30,86.40,7.50,270.00,247.37,-22.63
2016,7,16,21,25,00,1010.54,22.50,81.50,2.60,269.00,246.37,-22.63
2016,7,16,22,25,00,1011.37,23.00,76.70,2.30,195.00,172.37,-22.63
2016,7,16,23,25,00,1011.51,22.00,90.20,2.90,243.00,220.37,-22.63
