/SiMCosta RJ - Ilha do Pai - Cia de Docas
/latitude = -22.99277544
/longitude = -43.09056758



/Parameters:
/Tmp: Average Water Temperature (degree Celsius)
/Avg_Sal: Average Salinity (psu)

/Missing = NULL
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Tmp,Avg_Sal
2024,1,17,13,45,0,24.32,12.48
2024,1,17,13,50,0,27.9,34.37
2024,1,17,13,55,0,27.92,34.38
2024,1,17,14,0,0,28.04,34.41
2024,1,17,14,5,0,27.96,34.39
2024,1,17,14,10,0,28.09,34.39
2024,1,17,14,15,0,27.39,34.43
2024,1,17,14,20,0,26.71,34.49
2024,1,17,14,25,0,26.98,34.48
2024,1,17,14,30,0,28.03,34.42
2024,1,17,14,35,0,27.8,34.41
2024,1,17,14,40,0,27.18,34.47
2024,1,17,14,45,0,26.92,34.48
2024,1,17,14,50,0,27.41,34.48
2024,1,17,14,55,0,27.14,34.46
2024,1,17,15,0,0,27.11,34.49
2024,1,17,15,5,0,27.16,34.5
2024,1,17,15,10,0,27.08,34.5
2024,1,17,15,15,0,27.2,34.45
2024,1,17,15,20,0,27.22,34.18
2024,1,17,15,25,0,27.11,34.1
2024,1,17,15,30,0,27.05,34.06
2024,1,17,15,35,0,27.07,33.96
2024,1,17,15,40,0,27.04,34
2024,1,17,15,45,0,27.14,34.08
2024,1,17,15,50,0,27.36,34.21
2024,1,17,15,55,0,27.57,34.27
2024,1,17,16,0,0,27.55,34.3
2024,1,17,16,5,0,27.52,34.3
2024,1,17,16,10,0,27.45,34.31
2024,1,17,16,15,0,27.4,34.31
2024,1,17,16,20,0,27.36,34.34
2024,1,17,16,25,0,27.26,34.27
2024,1,17,16,30,0,27.22,34.31
2024,1,17,16,35,0,27.32,34.28
2024,1,17,16,40,0,27.22,34.25
2024,1,17,16,45,0,27.03,34.29
2024,1,17,16,50,0,27.09,34.29
2024,1,17,16,55,0,27.11,34.28
2024,1,17,17,0,0,27.16,34.27
2024,1,17,17,5,0,27.02,34.33
2024,1,17,17,10,0,27.21,34.31
2024,1,17,17,15,0,27.31,34.32
2024,1,17,17,20,0,27.4,34.3
2024,1,17,17,25,0,27.49,34.34
2024,1,17,17,30,0,27.73,34.37
2024,1,17,17,35,0,27.83,34.32
2024,1,17,17,40,0,27.71,34.36
2024,1,17,17,45,0,27.64,34.44
2024,1,17,17,50,0,27.61,34.51
2024,1,17,17,55,0,27.32,34.47
2024,1,17,18,0,0,27.22,34.45
2024,1,17,18,5,0,27.19,34.44
2024,1,17,18,10,0,27.26,34.46
2024,1,17,18,15,0,26.88,34.41
2024,1,17,18,20,0,26.82,34.41
2024,1,17,18,25,0,26.43,34.31
2024,1,17,18,30,0,25.94,34.18
2024,1,17,18,35,0,25.72,34.21
2024,1,17,18,40,0,25.89,34.2
2024,1,17,18,45,0,25.92,34.19
2024,1,17,18,50,0,25.79,34.16
2024,1,17,18,55,0,25.96,34.21
2024,1,17,19,0,0,25.88,34.19
2024,1,17,19,5,0,25.96,34.2
2024,1,17,19,10,0,26,34.22
2024,1,17,19,15,0,26.02,34.2
2024,1,17,19,20,0,26.07,34.19
2024,1,17,19,25,0,26.04,34.18
2024,1,17,19,30,0,26.14,34.2
2024,1,17,19,35,0,26.22,34.18
2024,1,17,19,40,0,28.66,32.3
2024,1,17,19,45,0,29.06,31.98
2024,1,17,19,50,0,29.05,31.9
2024,1,17,19,55,0,29.03,31.85
2024,1,17,20,0,0,29.06,31.62
2024,1,17,20,5,0,28.86,31.67
2024,1,17,20,10,0,27.61,32.27
2024,1,17,20,15,0,27.25,32.34
2024,1,17,20,20,0,27.6,32.13
2024,1,17,20,25,0,27.84,32.04
2024,1,17,20,30,0,26.43,32.71
2024,1,17,20,35,0,26.88,32.51
2024,1,17,20,40,0,26.5,32.66
2024,1,17,20,45,0,26.36,32.72
2024,1,17,20,50,0,26.16,32.81
2024,1,17,20,55,0,26.28,32.74
2024,1,17,21,0,0,26.68,32.56
2024,1,17,21,5,0,26.63,32.58
2024,1,17,21,10,0,26.49,32.7
2024,1,17,21,15,0,26.39,32.77
2024,1,17,21,20,0,26.95,32.4
2024,1,17,21,25,0,27.12,32.33
2024,1,17,21,30,0,26.76,32.61
2024,1,17,21,35,0,26.85,32.59
2024,1,17,21,40,0,25.85,33.09
2024,1,17,21,45,0,25.82,33.16
2024,1,17,21,50,0,26.28,32.95
2024,1,17,21,55,0,25.92,33.16
2024,1,17,22,0,0,26.06,33.11
2024,1,17,22,5,0,26.22,33.05
2024,1,17,22,10,0,26.34,33.01
2024,1,17,22,15,0,26.42,32.97
2024,1,17,22,20,0,26.56,32.88
2024,1,17,22,25,0,26.78,32.73
2024,1,17,22,30,0,26.93,32.61
2024,1,17,22,35,0,26.83,32.65
2024,1,17,22,40,0,26.77,32.6
2024,1,17,22,45,0,26.65,32.64
2024,1,17,22,50,0,26.64,32.63
2024,1,17,22,55,0,26.62,32.61
2024,1,17,23,0,0,26.62,32.61
2024,1,17,23,5,0,26.78,32.49
2024,1,17,23,10,0,26.93,32.41
2024,1,17,23,15,0,26.91,32.58
2024,1,17,23,20,0,26.91,32.67
2024,1,17,23,25,0,26.82,32.81
2024,1,17,23,30,0,26.68,32.99
2024,1,17,23,35,0,26.48,33.21
2024,1,17,23,40,0,26.34,33.37
2024,1,17,23,45,0,26.35,33.45
2024,1,17,23,50,0,26.37,33.48
2024,1,17,23,55,0,26.3,33.57
2024,1,18,0,0,0,26.29,33.66
2024,1,18,0,5,0,26.29,33.72
2024,1,18,0,10,0,26.32,33.75
2024,1,18,0,15,0,26.3,33.82
2024,1,18,0,20,0,26.25,33.9
2024,1,18,0,25,0,26.3,33.98
2024,1,18,0,30,0,26.3,34.04
2024,1,18,0,35,0,26.37,34.06
2024,1,18,0,40,0,26.33,34.12
2024,1,18,0,50,0,26.27,34.23
2024,1,18,0,55,0,26.09,34.28
2024,1,18,1,0,0,26.17,34.3
2024,1,18,1,5,0,26.16,34.33
2024,1,18,1,10,0,26.33,34.39
2024,1,18,1,15,0,26.29,34.4
2024,1,18,1,20,0,26.21,34.42
2024,1,18,1,25,0,26.28,34.41
2024,1,18,1,30,0,26.29,34.4
2024,1,18,1,35,0,26.46,34.43
2024,1,18,1,40,0,26.32,34.47
2024,1,18,1,45,0,26.34,34.53
2024,1,18,1,50,0,26.71,34.45
2024,1,18,1,55,0,26.71,34.41
2024,1,18,2,0,0,26.44,34.2
2024,1,18,2,5,0,26.17,33.33
2024,1,18,2,10,0,26.16,33.44
2024,1,18,2,15,0,26.09,33.42
2024,1,18,2,20,0,26.05,33.46
2024,1,18,2,25,0,26.01,33.59
2024,1,18,2,30,0,25.97,33.64
2024,1,18,2,35,0,25.97,33.78
2024,1,18,2,40,0,25.92,33.75
2024,1,18,2,45,0,25.91,33.72
2024,1,18,2,50,0,25.91,33.56
2024,1,18,2,55,0,25.93,33.71
2024,1,18,3,0,0,25.84,33.75
2024,1,18,3,5,0,25.72,33.68
2024,1,18,3,10,0,25.65,33.52
2024,1,18,3,15,0,25.68,33.25
2024,1,18,3,20,0,25.69,33.37
2024,1,18,3,25,0,25.7,33.55
2024,1,18,3,30,0,25.67,33.6
2024,1,18,3,35,0,25.68,33.51
2024,1,18,3,40,0,25.56,32.65
2024,1,18,3,45,0,25.47,33.02
2024,1,18,3,50,0,25.44,33.23
2024,1,18,3,55,0,25.42,33.23
2024,1,18,4,0,0,25.41,33.27
2024,1,18,4,5,0,25.32,33.04
2024,1,18,4,10,0,25.12,33.24
2024,1,18,4,15,0,24.96,33.12
2024,1,18,4,20,0,24.9,33.18
2024,1,18,4,25,0,24.92,33.13
2024,1,18,4,30,0,24.95,33.03
2024,1,18,4,35,0,24.97,33.13
2024,1,18,4,40,0,25.29,32.87
2024,1,18,4,45,0,25.28,33.06
2024,1,18,4,50,0,25.25,33.3
2024,1,18,4,55,0,25.21,33.51
2024,1,18,5,0,0,25.15,33.54
2024,1,18,5,5,0,25.11,33.51
2024,1,18,5,10,0,25.03,33.56
2024,1,18,5,15,0,25.01,33.41
2024,1,18,5,20,0,24.99,33.36
2024,1,18,5,25,0,24.93,33.35
2024,1,18,5,30,0,24.85,33.41
2024,1,18,5,35,0,24.8,33.52
2024,1,18,5,40,0,24.73,33.53
2024,1,18,5,45,0,24.9,33.15
2024,1,18,5,50,0,24.85,33.24
2024,1,18,5,55,0,24.87,33.4
2024,1,18,6,0,0,24.98,33.29
2024,1,18,6,5,0,24.9,33.27
2024,1,18,6,10,0,24.92,33.25
2024,1,18,6,15,0,24.81,33.43
2024,1,18,6,20,0,25,33.03
2024,1,18,6,25,0,25.09,32.99
2024,1,18,6,30,0,25.15,32.84
2024,1,18,6,35,0,25.09,32.97
2024,1,18,6,40,0,25.12,32.98
2024,1,18,6,45,0,25.07,32.94
2024,1,18,6,50,0,25.05,33
2024,1,18,6,55,0,25.02,32.91
2024,1,18,7,0,0,25.09,32.76
2024,1,18,7,5,0,25.09,32.64
2024,1,18,7,10,0,24.98,32.9
2024,1,18,7,15,0,24.99,32.77
2024,1,18,7,20,0,25.17,32.53
2024,1,18,7,25,0,25.08,32.82
2024,1,18,7,30,0,25.04,33.08
2024,1,18,7,35,0,25.05,32.69
2024,1,18,7,40,0,24.95,32.87
2024,1,18,7,45,0,24.91,32.78
2024,1,18,7,50,0,25.07,32.45
2024,1,18,7,55,0,25.2,32.09
2024,1,18,8,0,0,24.88,32.75
2024,1,18,8,5,0,24.94,32.64
2024,1,18,8,10,0,24.83,32.72
2024,1,18,8,15,0,25.16,32.06
2024,1,18,8,20,0,25.18,32.05
2024,1,18,8,25,0,25.36,31.75
2024,1,18,8,30,0,25.46,31.61
2024,1,18,8,35,0,25.36,31.79
2024,1,18,8,40,0,25.5,31.48
2024,1,18,8,45,0,25,32.19
2024,1,18,8,50,0,24.98,32.09
2024,1,18,8,55,0,25.32,31.77
2024,1,18,9,0,0,25.5,31.6
2024,1,18,9,5,0,25.4,31.71
2024,1,18,9,10,0,25.74,31.21
2024,1,18,9,15,0,25.7,31.29
2024,1,18,9,20,0,25.88,31.02
2024,1,18,9,25,0,25.79,31.15
2024,1,18,9,30,0,25.92,31.07
2024,1,18,9,35,0,25.88,31.17
2024,1,18,9,40,0,25.39,32.02
2024,1,18,9,45,0,25.09,32.51
2024,1,18,9,50,0,25.14,32.93
2024,1,18,9,55,0,25.28,32.83
2024,1,18,10,0,0,25.23,33.01
2024,1,18,10,5,0,25.23,33.26
2024,1,18,10,10,0,25.29,33.5
2024,1,18,10,15,0,25.36,33.74
2024,1,18,10,20,0,25.64,34.26
2024,1,18,10,25,0,25.91,34.56
2024,1,18,10,30,0,26.09,34.78
2024,1,18,10,35,0,25.96,34.57
2024,1,18,10,40,0,26,34.65
2024,1,18,10,45,0,26.13,34.78
2024,1,18,10,50,0,26.02,34.62
2024,1,18,10,55,0,25.76,34.36
2024,1,18,11,0,0,25.68,34.25
2024,1,18,11,5,0,25.9,34
2024,1,18,11,10,0,25.97,33.91
2024,1,18,11,15,0,26.05,33.99
2024,1,18,11,20,0,26.06,34.12
2024,1,18,11,25,0,26.14,34.28
2024,1,18,11,30,0,26.46,34.33
2024,1,18,11,35,0,26.48,34.28
2024,1,18,11,40,0,26.53,34.42
2024,1,18,11,45,0,26.6,34.31
2024,1,18,11,55,0,26.5,34.4
2024,1,18,12,5,0,26.66,34.5
2024,1,18,12,10,0,26.47,34.23
2024,1,18,12,15,0,26.42,34.15
2024,1,18,12,20,0,26.27,34.14
2024,1,18,12,25,0,26.32,34.15
2024,1,18,12,30,0,26.57,34.37
2024,1,18,12,35,0,26.84,34.12
2024,1,18,12,40,0,26.82,34.41
2024,1,18,12,45,0,27.02,34.4
2024,1,18,12,50,0,26.95,34.45
2024,1,18,12,55,0,27.32,34.96
2024,1,18,13,0,0,28.08,35.58
2024,1,18,13,5,0,28.9,35.94
2024,1,18,13,10,0,29.04,35.94
2024,1,18,13,15,0,28.96,35.94
2024,1,18,13,20,0,28.86,35.94
2024,1,18,13,25,0,28.68,35.94
2024,1,18,13,30,0,28.72,35.96
2024,1,18,13,35,0,28.75,35.95
2024,1,18,13,40,0,28.78,35.97
2024,1,18,13,45,0,28.63,35.94
2024,1,18,13,50,0,28.55,35.96
2024,1,18,13,55,0,29.15,35.96
2024,1,18,14,0,0,29.03,35.96
2024,1,18,14,5,0,29.25,35.99
2024,1,18,14,10,0,29.17,36
2024,1,18,14,15,0,29.3,36.01
2024,1,18,14,20,0,29.02,36
2024,1,18,14,25,0,29.17,36
2024,1,18,14,30,0,29.02,36
2024,1,18,14,35,0,29.05,36.01
2024,1,18,14,40,0,28.98,36
2024,1,18,14,45,0,28.67,35.98
2024,1,18,14,50,0,28.9,36.04
2024,1,18,14,55,0,28.6,36.03
2024,1,18,15,0,0,28.69,36.09
2024,1,18,15,5,0,28.74,36.1
2024,1,18,15,10,0,28.75,36.1
2024,1,18,15,15,0,29.01,36.12
2024,1,18,15,20,0,28.96,36.11
2024,1,18,15,30,0,28.82,36.11
2024,1,18,15,35,0,28.89,36.11
2024,1,18,15,40,0,28.86,36.12
2024,1,18,15,45,0,29.03,36.15
2024,1,18,15,50,0,29.16,36.16
2024,1,18,15,55,0,29.05,36.15
2024,1,18,16,0,0,29.03,36.14
2024,1,18,16,5,0,29.11,36.17
2024,1,18,16,10,0,29.24,36.19
2024,1,18,16,15,0,29.21,36.19
2024,1,18,16,20,0,29.15,36.19
2024,1,18,16,25,0,29.12,36.18
2024,1,18,16,30,0,29.17,36.19
2024,1,18,16,35,0,29.2,36.2
2024,1,18,16,40,0,29.17,36.2
2024,1,18,16,45,0,29.17,36.2
2024,1,18,16,50,0,29.12,36.19
2024,1,18,16,55,0,29.11,36.19
2024,1,18,17,0,0,29.18,36.21
2024,1,18,17,5,0,29.1,36.2
2024,1,18,17,10,0,29.12,36.2
2024,1,18,17,15,0,29.1,36.2
2024,1,18,17,20,0,29.06,36.18
2024,1,18,17,25,0,28.98,36.18
2024,1,18,17,30,0,29.06,36.19
2024,1,18,17,35,0,29.4,36.16
2024,1,18,17,40,0,29.33,36.1
2024,1,18,17,45,0,29.27,36.11
2024,1,18,17,50,0,29.19,36.12
2024,1,18,17,55,0,29.22,36.07
2024,1,18,18,0,0,29.19,36.06
2024,1,18,18,5,0,29.13,36.04
2024,1,18,18,10,0,29.1,36.06
2024,1,18,18,15,0,29.06,36.07
2024,1,18,18,20,0,28.99,36.04
2024,1,18,18,25,0,28.96,36.04
2024,1,18,18,30,0,28.92,36.04
2024,1,18,18,35,0,28.89,36.04
2024,1,18,18,40,0,28.88,36.05
2024,1,18,18,45,0,28.85,36.06
2024,1,18,18,50,0,28.73,35.99
2024,1,18,18,55,0,28.69,35.98
2024,1,18,19,0,0,28.66,35.96
2024,1,18,19,5,0,28.64,35.96
2024,1,18,19,10,0,28.61,35.95
2024,1,18,19,15,0,28.61,35.95
2024,1,18,19,20,0,28.58,35.93
2024,1,18,19,25,0,28.54,35.94
2024,1,18,19,35,0,28.57,35.93
2024,1,18,19,40,0,28.56,35.92
2024,1,18,19,45,0,28.55,35.92
2024,1,18,19,50,0,28.55,35.92
2024,1,18,19,55,0,28.55,35.91
2024,1,18,20,0,0,28.49,35.9
2024,1,18,20,5,0,28.45,35.88
2024,1,18,20,10,0,28.44,35.88
2024,1,18,20,15,0,28.48,35.89
2024,1,18,20,20,0,28.51,35.9
2024,1,18,20,25,0,28.52,35.92
2024,1,18,20,30,0,28.52,35.92
2024,1,18,20,35,0,28.51,35.92
2024,1,18,20,40,0,28.46,35.92
2024,1,18,20,45,0,28.39,35.9
2024,1,18,20,50,0,28.35,35.89
2024,1,18,20,55,0,28.26,35.85
2024,1,18,21,0,0,28.2,35.83
2024,1,18,21,5,0,28.18,35.82
2024,1,18,21,10,0,28.14,35.8
2024,1,18,21,15,0,28.12,35.8
2024,1,18,21,20,0,28.11,35.79
2024,1,18,21,25,0,28.1,35.78
2024,1,18,21,30,0,28.09,35.79
2024,1,18,21,35,0,28.08,35.78
2024,1,18,21,40,0,28.08,35.78
2024,1,18,21,45,0,28.09,35.78
2024,1,18,21,50,0,28.1,35.77
2024,1,18,21,55,0,28.12,35.77
2024,1,18,22,0,0,28.12,35.77
2024,1,18,22,5,0,28.13,35.77
2024,1,18,22,10,0,28.14,35.77
2024,1,18,22,15,0,28.14,35.76
2024,1,18,22,20,0,28.15,35.77
2024,1,18,22,25,0,28.15,35.76
2024,1,18,22,30,0,28.16,35.76
2024,1,18,22,35,0,28.16,35.76
2024,1,18,22,40,0,28.17,35.75
2024,1,18,22,45,0,28.17,35.75
2024,1,18,22,50,0,28.17,35.75
2024,1,18,22,55,0,28.18,35.75
2024,1,18,23,0,0,28.18,35.76
2024,1,18,23,5,0,28.18,35.76
2024,1,18,23,10,0,28.16,35.76
2024,1,18,23,15,0,28.15,35.75
2024,1,18,23,20,0,28.15,35.75
2024,1,18,23,25,0,28.14,35.76
2024,1,18,23,30,0,28.13,35.76
2024,1,18,23,35,0,28.11,35.75
2024,1,18,23,40,0,28.09,35.76
2024,1,18,23,45,0,28.11,35.75
2024,1,18,23,50,0,28.11,35.75
2024,1,18,23,55,0,28.1,35.76
2024,1,19,0,0,0,28.09,35.75
2024,1,19,0,5,0,28.15,35.72
2024,1,19,0,10,0,28.18,35.74
2024,1,19,0,15,0,28.28,35.7
2024,1,19,0,20,0,28.39,35.63
2024,1,19,0,25,0,28.05,35.4
2024,1,19,0,30,0,28.02,35.4
2024,1,19,0,35,0,27.76,35.27
2024,1,19,0,40,0,27.73,35.26
2024,1,19,0,45,0,27.64,35.2
2024,1,19,0,50,0,27.58,35.12
2024,1,19,0,55,0,27.58,35.09
2024,1,19,1,0,0,27.51,35.03
2024,1,19,1,5,0,27.41,34.99
2024,1,19,1,10,0,27.4,35
2024,1,19,1,15,0,27.4,34.98
2024,1,19,1,20,0,27.42,34.97
2024,1,19,1,25,0,27.41,34.94
2024,1,19,1,30,0,27.4,34.91
2024,1,19,1,35,0,27.4,34.92
2024,1,19,1,40,0,27.39,34.89
2024,1,19,1,45,0,27.41,34.98
2024,1,19,1,50,0,27.41,35.02
2024,1,19,1,55,0,27.41,34.97
2024,1,19,2,0,0,27.39,34.98
2024,1,19,2,5,0,27.37,34.91
2024,1,19,2,10,0,27.34,34.88
2024,1,19,2,15,0,27.2,34.76
2024,1,19,2,20,0,27.15,34.66
2024,1,19,2,25,0,27.09,34.69
2024,1,19,2,30,0,26.96,34.69
2024,1,19,2,35,0,26.92,34.76
2024,1,19,2,40,0,26.8,34.7
2024,1,19,2,45,0,26.66,34.64
2024,1,19,2,50,0,26.86,34.82
2024,1,19,2,55,0,26.79,34.75
2024,1,19,3,0,0,26.66,34.5
2024,1,19,3,5,0,26.77,34.34
2024,1,19,3,10,0,26.66,34.26
2024,1,19,3,15,0,26.63,34.27
2024,1,19,3,20,0,26.56,33.66
2024,1,19,3,25,0,26.65,33.58
2024,1,19,3,30,0,26.68,33.55
2024,1,19,3,35,0,26.69,33.59
2024,1,19,3,40,0,26.74,33.55
2024,1,19,3,45,0,26.77,33.47
2024,1,19,3,50,0,26.76,33.46
2024,1,19,3,55,0,26.82,33.44
2024,1,19,4,0,0,26.81,33.41
2024,1,19,4,5,0,26.84,33.43
2024,1,19,4,10,0,26.85,33.47
2024,1,19,4,15,0,26.89,33.53
2024,1,19,4,20,0,26.92,33.59
2024,1,19,4,25,0,26.97,33.74
2024,1,19,4,30,0,26.98,33.89
2024,1,19,4,35,0,26.81,33.96
2024,1,19,4,40,0,26.81,33.98
2024,1,19,4,45,0,26.81,33.99
